Андреевка, Мордовия респ.;431237
Андреевка, Московская обл.;141551
Андреевка, Нижегородская обл.;607518
Андреевка, Новосибирская обл.;632791
Андреевка, Омская обл.;644526
Андреевка, Оренбургская обл.;461070
Андреевка, Пензенская обл.;442215
Андреевка, Пермский край;618110
Андреевка, Приморский край;692707
Андреевка, Самарская обл.;446632
Андреевка, Саратовская обл.;412143
Андреевка, Тамбовская обл.;393024
Андреевка, Татарстан респ.;423003
Андреевка, Тульская обл.;301947
Андреевка, Ульяновская обл.;433426
Андреевка, Чувашская респ.;429715
Андреево-базары, Чувашская респ.;429435
Андреево, Владимирская обл.;601370
Андреево, Ленинградская обл.;187105
Андреево-мелентьево, Ростовская обл.;346841
Андреевская, Архангельская обл.;164223
Андреевская, Краснодарский край;353794
Андреевская, Ростовская обл.;347413
Андреевский, Кировская обл.;613561
Андреевский, Ставропольский край;357907
Андреевский, Тюменская обл.;625516
Андреевский, Челябинская обл.;457342
Андреевск, Иркутская обл.;666922
Андреевское, Владимирская обл.;601115
Андреевское, Костромская обл.;157094
Андреевское, Ярославская обл.;152197
Андреевцы, Удмуртская респ.;427544
Андреевщина, Ленинградская обл.;187720
Андрее-дмитриевский, Краснодарский край;352417
Андрейковичи, Брянская обл.;243565
Андрейково, Смоленская обл.;215158
Андрейково, Тверская обл.;170540
Андрей-курган, Ставропольский край;356899
Андрейшур, Удмуртская респ.;427520
Андриановичи, Свердловская обл.;624967
Андриановка, Воронежская обл.;396688
Андриановка, Тамбовская обл.;393581
Андрианово, Ленинградская обл.;187031
Андрианово, Ярославская обл.;152031
Андриановская, Архангельская обл.;164554
Андромер, Псковская обл.;181014
Андроники, Ярославская обл.;150513
Андронниково, Ленинградская обл.;187540
Андроново, Алтайский край;658585
Андроново, Вологодская обл.;162518
Андроново, Красноярский край;662240
Андроповский, Ростовская обл.;346282
Андросовка, Самарская обл.;446152
Андрюки, Краснодарский край;352567
Андрюшевка, Воронежская обл.;396746
Андрюшино, Иркутская обл.;665319
Андрюшино, Свердловская обл.;624913
Андрюшино, Тюменская обл.;626026
Андрюшино, Ярославская обл.;152891
Андрюшкино, Саха (Якутия) респ.;678837
Андрющенко, Краснодарский край;353755
Андых, Дагестан респ.;368432
Анеева, Тюменская обл.;628151
Анемнясево, Рязанская обл.;391328
Анжеро-судженск, Кемеровская обл.;652470
Анзорей, Кабардино-балкарская респ.;361350
Анива, Сахалинская обл.;694030
Аниканово, Орловская обл.;303005
Аникино, Омская обл.;646363
Аниково, Вологодская обл.;161348
Анисимовка, Приморский край;692847
Анисимово, Алтайский край;658010
Анисимово, Вологодская обл.;162413
Анисимово, Ленинградская обл.;187683
Анисимово, Нижегородская обл.;606591
Анисовский, Саратовская обл.;413159
Аниховка, Оренбургская обл.;462834
Анишино, Вологодская обл.;162421
Анишино, Тульская обл.;301335
Анкудиново, Владимирская обл.;601107
Анна, Воронежская обл.;396250
Анненка, Тамбовская обл.;393187
Анненково, Мордовия респ.;431616
Анненково, Пензенская обл.;442515
Анненково, Ульяновская обл.;433134
Анненковского карьера, Нижегородская обл.;606396
Анненский мост, Вологодская обл.;162952
Анненское, Челябинская обл.;457375
Аннино, Ленинградская обл.;188505
Аннинские минеральные воды, Хабаровский край;682406
Анновка, Амурская обл.;676945
Анновка, Башкортостан респ.;452027
Анновка, Белгородская обл.;309233
Анновка, Воронежская обл.;397718
Анно-ребриковская, Ростовская обл.;346003
Анопино, Владимирская обл.;601530
Анос, Алтай респ.;649230
